feature,importance
lbp_9,10.87823372666727
minor_axis_median,5.979074098196635
perimeter_mean,4.945531534057297
nucleus_area_std,4.383223807033856
lbp_1,4.257589486715979
lbp_7,3.3079071189161158
lbp_6,3.0852253130068927
circularity_median,3.0707443724410415
gabor_f0.1_a0_mean,2.4848438281061456
nucleus_major_axis_mean,2.422669310565495
glcm_contrast_mean,2.3420030703398735
nucleus_major_axis_std,2.3012747724148244
lbp_3,2.2540374310674274
lbp_5,1.9491455191033848
area_mean,1.7850075010073112
gabor_f0.1_a45_mean,1.7795307099490232
glcm_homogeneity_mean,1.755677704361779
eccentricity_median,1.708877177845195
nucleus_solidity_std,1.6766440433839922
glcm_dissimilarity_std,1.6317952995565252
minor_axis_mean,1.2914798186583967
gabor_f0.2_a45_std,1.2884292764232481
gabor_f0.2_a90_std,1.2534647355149644
area_count,1.2515788391213825
nucleus_area_count,1.2394308338757904
nucleus_solidity_mean,1.1744827335339652
solidity_std,1.1576196078531886
lbp_0,1.0650233948257006
glcm_ASM_mean,1.060283046346783
nc_ratio_mean,1.029082057745394
lbp_2,1.01224969529593
aspect_ratio_mean,1.0108723461943705
perimeter_max,0.9554854571226687
eccentricity_count,0.9228453792740545
cell_density,0.9011465459801057
aspect_ratio_std,0.8548251297349375
intensity_mean,0.8436504999391014
glcm_homogeneity_std,0.8178764264702508
nucleus_major_axis_count,0.787317701022738
major_axis_mean,0.7846222783218
major_axis_std,0.7733756297401686
nucleus_perimeter_std,0.7485619033084827
minor_axis_count,0.6527588163180872
perimeter_median,0.6512478879586208
gabor_f0.2_a45_mean,0.6108221616605024
eccentricity_mean,0.5721592495827816
major_axis_max,0.5663345266545989
gabor_f0.1_a90_std,0.5568557761830708
nucleus_area_max,0.5387862712414142
solidity_mean,0.5311111439537793
gabor_f0.1_a45_std,0.5044271547398577
nucleus_perimeter_mean,0.4924512003008906
gabor_f0.2_a0_mean,0.48054213700585385
gabor_f0.2_a0_std,0.4646073349591116
minor_axis_std,0.44482782403101173
area_median,0.4375908656563021
nucleus_area_mean,0.4151737703691107
lbp_8,0.4024219171049434
nucleus_perimeter_max,0.3894620415439788
glcm_correlation_mean,0.36861081229041015
solidity_median,0.343648999540291
nn_mean,0.34145082525219106
eccentricity_std,0.32868845116748774
nucleus_minor_axis_count,0.2838406545139562
perimeter_std,0.27240340660748535
nucleus_solidity_count,0.2681146226526712
area_std,0.26798541091659567
aspect_ratio_max,0.26348555658231826
glcm_ASM_std,0.23819156215492523
nc_ratio_std,0.22209574435119447
circularity_count,0.1916616924358031
nucleus_major_axis_max,0.1784142884744582
major_axis_count,0.16365253051241052
intensity_skew,0.1612218261945331
nucleus_minor_axis_max,0.11520710691576945
area_max,0.10604480945000214
nucleus_circularity_mean,0.10080803374628113
perimeter_count,0.09982000310840422
gabor_f0.1_a90_mean,0.08060856795495504
nucleus_minor_axis_mean,0.06850290545569172
nucleus_minor_axis_std,0.06537710586268265
glcm_correlation_std,0.06526510807622636
lbp_4,0.050427918589728775
nucleus_circularity_std,0.04845860867606964
nc_ratio_count,0.04642482376821745
nc_ratio_max,0.04461865682172866
circularity_mean,0.03999689994116926
intensity_std,0.03920984236732133
gabor_f0.2_a90_mean,0.038870764479002715
minor_axis_max,0.03359380933815661
circularity_std,0.024046951075017378
cell_count,0.021431233856217324
nn_std,0.02037743362126948
intensity_kurtosis,0.012560313974554607
glcm_energy_mean,0.011317732373265431
glcm_energy_std,0.010166119763478176
glcm_dissimilarity_mean,0.009572122703641031
glcm_contrast_std,0.009351878532165082
gabor_f0.1_a0_std,0.007571931794744493
nucleus_perimeter_count,0.002542298919941148
nucleus_area_median,4.139488414010932e-05
major_axis_median,0.0
area_min,0.0
perimeter_min,0.0
major_axis_min,0.0
nucleus_solidity_max,0.0
nc_ratio_min,0.0
nc_ratio_median,0.0
nucleus_solidity_median,0.0
nucleus_major_axis_min,0.0
nucleus_major_axis_median,0.0
nucleus_minor_axis_min,0.0
nucleus_circularity_count,0.0
nucleus_circularity_median,0.0
nucleus_circularity_min,0.0
nucleus_circularity_max,0.0
nucleus_minor_axis_median,0.0
nucleus_perimeter_min,0.0
nucleus_area_min,0.0
nucleus_perimeter_median,0.0
nucleus_solidity_min,0.0
circularity_min,0.0
solidity_max,0.0
circularity_max,0.0
aspect_ratio_median,0.0
aspect_ratio_count,0.0
minor_axis_min,0.0
solidity_min,0.0
solidity_count,0.0
aspect_ratio_min,0.0
eccentricity_min,0.0
eccentricity_max,0.0
