feature,importance
lbp_9,275
lbp_1,235
circularity_median,199
lbp_2,184
lbp_7,184
lbp_6,183
aspect_ratio_std,172
gabor_f0.2_a0_std,135
major_axis_std,127
lbp_5,126
lbp_3,117
minor_axis_median,116
minor_axis_max,108
gabor_f0.2_a90_std,107
lbp_0,104
glcm_correlation_std,103
gabor_f0.2_a45_std,100
nucleus_solidity_std,87
circularity_std,87
eccentricity_std,84
nucleus_solidity_mean,82
nc_ratio_mean,82
glcm_homogeneity_std,78
intensity_kurtosis,76
area_std,76
aspect_ratio_mean,69
nucleus_minor_axis_max,66
gabor_f0.2_a0_mean,65
gabor_f0.2_a90_mean,64
perimeter_std,63
major_axis_max,63
glcm_contrast_mean,63
solidity_min,61
minor_axis_std,59
circularity_mean,59
perimeter_median,57
solidity_mean,57
lbp_4,56
nucleus_area_mean,56
intensity_skew,55
nucleus_circularity_mean,55
intensity_mean,53
nucleus_area_std,53
cell_count,52
area_max,52
nucleus_major_axis_std,52
gabor_f0.1_a45_std,52
major_axis_median,51
perimeter_mean,50
nucleus_major_axis_max,47
nucleus_minor_axis_mean,41
eccentricity_mean,41
nc_ratio_std,41
area_mean,41
glcm_correlation_mean,40
nn_std,40
intensity_std,37
eccentricity_median,37
aspect_ratio_max,36
glcm_contrast_std,35
glcm_energy_std,33
solidity_std,33
glcm_homogeneity_mean,32
nucleus_circularity_std,32
nc_ratio_count,31
gabor_f0.1_a45_mean,31
major_axis_mean,30
perimeter_max,30
cell_density,29
gabor_f0.1_a0_std,29
gabor_f0.1_a90_mean,27
gabor_f0.1_a0_mean,26
nucleus_minor_axis_std,26
nucleus_perimeter_mean,26
gabor_f0.2_a45_mean,26
lbp_8,26
aspect_ratio_median,24
gabor_f0.1_a90_std,22
nucleus_perimeter_std,21
nucleus_major_axis_mean,21
nucleus_area_max,19
nucleus_perimeter_max,18
minor_axis_mean,18
nc_ratio_max,16
glcm_dissimilarity_std,15
glcm_dissimilarity_mean,15
nn_mean,15
glcm_ASM_std,13
glcm_energy_mean,12
glcm_ASM_mean,9
solidity_median,7
area_median,2
nucleus_minor_axis_median,0
nucleus_minor_axis_count,0
nucleus_major_axis_median,0
nucleus_minor_axis_min,0
nucleus_circularity_count,0
nucleus_area_count,0
nucleus_area_min,0
nucleus_major_axis_min,0
minor_axis_count,0
major_axis_min,0
major_axis_count,0
perimeter_min,0
perimeter_count,0
area_min,0
nc_ratio_min,0
area_count,0
nucleus_solidity_min,0
nucleus_solidity_max,0
nucleus_solidity_count,0
nucleus_solidity_median,0
nc_ratio_median,0
nucleus_circularity_median,0
nucleus_circularity_min,0
nucleus_circularity_max,0
nucleus_major_axis_count,0
nucleus_perimeter_min,0
nucleus_perimeter_count,0
nucleus_perimeter_median,0
nucleus_area_median,0
circularity_min,0
solidity_max,0
circularity_max,0
eccentricity_count,0
minor_axis_min,0
aspect_ratio_count,0
circularity_count,0
solidity_count,0
aspect_ratio_min,0
eccentricity_min,0
eccentricity_max,0
