feature,importance
perimeter_median,0.47815934
minor_axis_median,0.053727552
major_axis_max,0.04771158
area_mean,0.047143813
lbp_3,0.030512769
lbp_9,0.022726225
aspect_ratio_std,0.017459577
intensity_skew,0.015607826
lbp_2,0.0148789035
intensity_mean,0.0147541715
major_axis_mean,0.013136621
nucleus_solidity_mean,0.01289901
lbp_5,0.012506853
glcm_contrast_std,0.012388207
glcm_correlation_mean,0.011204082
lbp_7,0.010647786
minor_axis_max,0.010198579
gabor_f0.2_a0_std,0.009331691
area_median,0.007973122
nucleus_area_std,0.0071854177
nc_ratio_max,0.0068572494
gabor_f0.1_a90_std,0.006475639
intensity_kurtosis,0.006402307
lbp_6,0.0062512388
nucleus_perimeter_std,0.0058947178
major_axis_std,0.0057095424
gabor_f0.2_a90_std,0.005492829
nucleus_area_mean,0.005064233
solidity_median,0.005058769
intensity_std,0.0049069948
nucleus_circularity_std,0.0043989313
gabor_f0.2_a0_mean,0.0036436631
aspect_ratio_max,0.003564097
nucleus_perimeter_max,0.003496231
area_std,0.0033960054
lbp_1,0.0031285747
solidity_std,0.002970385
nc_ratio_std,0.0028303599
eccentricity_median,0.002746985
glcm_homogeneity_std,0.0025935054
gabor_f0.1_a45_mean,0.0024932967
lbp_0,0.0023011153
glcm_dissimilarity_mean,0.0022387952
circularity_median,0.002156704
gabor_f0.2_a45_std,0.0021358202
circularity_mean,0.002111037
nucleus_major_axis_mean,0.0020826827
solidity_min,0.0020190391
minor_axis_std,0.001969611
perimeter_max,0.0019111831
area_max,0.0019087496
nn_mean,0.0018735247
nucleus_solidity_std,0.0018359203
eccentricity_mean,0.0018215046
glcm_contrast_mean,0.0018069593
nucleus_area_max,0.0018041962
nucleus_minor_axis_max,0.0017964451
nucleus_minor_axis_mean,0.0017169496
eccentricity_std,0.00169791
major_axis_median,0.0016863726
cell_count,0.0016712187
lbp_4,0.0016190783
nn_std,0.0014398758
perimeter_std,0.001307659
glcm_dissimilarity_std,0.0012449222
lbp_8,0.0012200718
nucleus_minor_axis_std,0.0011279806
minor_axis_mean,0.0011103511
gabor_f0.2_a90_mean,0.0011095348
nucleus_circularity_mean,0.00094563415
circularity_std,0.0009316228
nucleus_perimeter_mean,0.0008995887
nc_ratio_count,0.00078895
solidity_mean,0.0006286312
nucleus_major_axis_std,0.00051374594
aspect_ratio_mean,0.0005031372
glcm_homogeneity_mean,0.00046157173
gabor_f0.2_a45_mean,0.0004328702
nc_ratio_mean,0.00038704704
gabor_f0.1_a90_mean,0.000378758
glcm_energy_mean,0.00028382675
gabor_f0.1_a0_std,0.00027112942
nucleus_major_axis_max,0.00018564757
perimeter_mean,0.00013391148
nucleus_major_axis_count,0.0
nucleus_perimeter_min,0.0
nucleus_perimeter_count,0.0
nucleus_perimeter_median,0.0
nucleus_area_count,0.0
cell_density,0.0
nucleus_area_median,0.0
nucleus_major_axis_min,0.0
nucleus_minor_axis_median,0.0
nucleus_minor_axis_count,0.0
nucleus_major_axis_median,0.0
nucleus_minor_axis_min,0.0
nucleus_circularity_count,0.0
nucleus_circularity_max,0.0
nucleus_circularity_min,0.0
nucleus_area_min,0.0
minor_axis_count,0.0
major_axis_min,0.0
major_axis_count,0.0
perimeter_min,0.0
perimeter_count,0.0
area_min,0.0
nc_ratio_min,0.0
area_count,0.0
nucleus_solidity_min,0.0
nucleus_solidity_max,0.0
nucleus_solidity_count,0.0
nucleus_solidity_median,0.0
nc_ratio_median,0.0
nucleus_circularity_median,0.0
minor_axis_min,0.0
aspect_ratio_count,0.0
circularity_min,0.0
circularity_max,0.0
solidity_max,0.0
circularity_count,0.0
solidity_count,0.0
aspect_ratio_min,0.0
eccentricity_min,0.0
eccentricity_max,0.0
eccentricity_count,0.0
aspect_ratio_median,0.0
glcm_energy_std,0.0
gabor_f0.1_a45_std,0.0
glcm_correlation_std,0.0
gabor_f0.1_a0_mean,0.0
glcm_ASM_mean,0.0
glcm_ASM_std,0.0
