iter	Passed	Remaining
0	50	10066
1	92	9135
2	135	8878
3	177	8715
4	220	8596
5	263	8506
6	304	8390
7	346	8309
8	394	8372
9	446	8492
10	497	8555
11	542	8498
12	586	8434
13	629	8360
14	670	8274
15	715	8225
16	756	8147
17	797	8065
18	838	7991
19	883	7948
20	923	7869
21	963	7796
22	1005	7737
23	1055	7736
24	1106	7743
25	1151	7708
26	1195	7659
27	1241	7623
28	1285	7580
29	1329	7532
30	1370	7473
31	1413	7418
32	1456	7369
33	1499	7321
34	1543	7276
35	1587	7231
36	1631	7188
37	1676	7149
38	1720	7100
39	1761	7046
40	1801	6985
41	1845	6943
42	1886	6888
43	1926	6831
44	1968	6779
45	2016	6749
46	2056	6693
47	2098	6645
48	2140	6595
49	2181	6543
50	2225	6501
51	2269	6458
52	2312	6414
53	2356	6371
54	2398	6324
55	2440	6276
56	2484	6233
57	2530	6195
58	2575	6155
59	2619	6113
60	2661	6065
61	2702	6015
62	2744	5967
63	2785	5918
64	2827	5873
65	2867	5822
66	2908	5774
67	2951	5729
68	2994	5685
69	3038	5642
70	3082	5600
71	3125	5556
72	3167	5510
73	3209	5464
74	3231	5386
75	3274	5342
76	3316	5298
77	3362	5258
78	3404	5214
79	3447	5170
80	3488	5125
81	3533	5084
82	3575	5040
83	3616	4994
84	3657	4948
85	3699	4903
86	3744	4863
87	3789	4823
88	3835	4783
89	3880	4742
90	3925	4701
91	3966	4656
92	4008	4612
93	4050	4567
94	4091	4522
95	4133	4477
96	4176	4435
97	4219	4391
98	4264	4350
99	4305	4305
100	4350	4263
101	4396	4224
102	4447	4188
103	4498	4152
104	4548	4115
105	4599	4078
106	4645	4037
107	4691	3996
108	4733	3951
109	4774	3906
110	4814	3860
111	4856	3816
112	4896	3770
113	4937	3724
114	4981	3682
115	5024	3638
116	5066	3594
117	5108	3549
118	5152	3507
119	5197	3465
120	5241	3422
121	5285	3379
122	5330	3337
123	5374	3294
124	5418	3251
125	5464	3209
126	5508	3166
127	5552	3123
128	5600	3082
129	5647	3041
130	5697	3000
131	5746	2960
132	5789	2916
133	5832	2872
134	5874	2828
135	5915	2783
136	5955	2738
137	5997	2694
138	6038	2650
139	6080	2606
140	6119	2560
141	6160	2516
142	6201	2472
143	6253	2431
144	6297	2388
145	6343	2346
146	6385	2302
147	6428	2258
148	6471	2215
149	6518	2172
150	6568	2131
151	6617	2089
152	6666	2047
153	6717	2006
154	6767	1964
155	6815	1922
156	6863	1879
157	6908	1836
158	6951	1792
159	6993	1748
160	7035	1704
161	7079	1660
162	7123	1616
163	7146	1568
164	7190	1525
165	7235	1481
166	7280	1438
167	7324	1395
168	7366	1351
169	7409	1307
170	7451	1263
171	7493	1219
172	7540	1176
173	7583	1133
174	7633	1090
175	7673	1046
176	7715	1002
177	7759	959
178	7804	915
179	7848	872
180	7889	828
181	7930	784
182	7973	740
183	8016	697
184	8058	653
185	8080	608
186	8122	564
187	8165	521
188	8206	477
189	8250	434
190	8294	390
191	8338	347
192	8382	304
193	8426	260
194	8471	217
195	8516	173
196	8561	130
197	8603	86
198	8645	43
199	8689	0
